image,candidate,stages,baseline_psnr,baseline_mse,baseline_ssim,mse,psnr,ssim,coherence,contrast,fragmentation,continuity,ridge_coverage,delta_psnr,delta_mse,delta_ssim,runtime_seconds
34__M_Right_ring_finger.BMP,C0 M1 NLM,NLM,27.38889028602457,0.0018243618056768378,0.852031355201602,0.001071639372622039,29.699513385517285,0.9449659510822296,0.7706151008605957,0.18135392665863037,0.779336450679136,64.83505154639175,0.411163330078125,2.310623099492716,-0.0007527224330547988,0.09293459588062758,0.23450240003876388
12__M_Left_middle_finger.BMP,C0 M1 NLM,NLM,27.200596265626643,0.001905199125245581,0.8736786578543186,0.0012212241889561677,29.132046021574016,0.9388330661810637,0.7663074731826782,0.1774578094482422,0.9936611272914169,67.01960784313725,0.4453277587890625,1.931449755947373,-0.0006839749362894134,0.06515440832674502,0.25124610000057146
379__F_Left_ring_finger.BMP,C0 M1 NLM,NLM,27.29697459443381,0.001863384765742222,0.8307089306706786,0.0011172711050701964,29.518414328377034,0.9488369250280857,0.641669750213623,0.17723536491394043,5.125284738041002,16.744615384615386,0.34832763671875,2.2214397339432246,-0.0007461136606720256,0.11812799435740706,0.247441399958916
216__M_Right_ring_finger.BMP,C0 M1 NLM,NLM,27.409242552997565,0.001815832331964324,0.8339104979358911,0.0011210718689848766,29.503665450294147,0.937308530195117,0.7304108738899231,0.16301332414150238,1.3783597518952446,45.92481203007519,0.3963461662060544,2.0944228972965817,-0.0006947604629794473,0.10339803225922584,0.23471580003388226
598__M_Right_little_finger.BMP,C0 M1 NLM,NLM,27.232376829257564,0.0018913082504083206,0.873195821332097,0.0012483632157791597,29.03659036722094,0.9484676128149032,0.7146871089935303,0.22635546326637268,5.669068146923349,16.09646302250804,0.3875885009765625,1.8042135379633741,-0.0006429450346291609,0.07527179148280616,0.24011529999552295
241__M_Right_thumb_finger.BMP,C0 M1 NLM,NLM,27.683054149489543,0.0017048830187297685,0.8502431259251237,0.0010898899214932883,29.626173634375228,0.9216805848320723,0.7849903702735901,0.17186927795410156,0.6678688305616777,97.74545454545455,0.4820592070314386,1.9431194848856848,-0.0006149930972364802,0.07143745890694853,0.24311559996567667
318__F_Left_little_finger.BMP,C0 M1 NLM,NLM,27.680894438410597,0.001705731054009289,0.804882369456917,0.0011172414923438987,29.518529437539016,0.9164713474235535,0.6455139517784119,0.18045735359191895,6.706447694988646,12.632450331125828,0.2889556884765625,1.8376349991284187,-0.0005884895616653904,0.11158897796663647,0.24615540000377223
533__M_Left_thumb_finger.BMP,C0 M1 NLM,NLM,27.13216588011231,0.0019354564872124708,0.877849622436881,0.0011401487057783176,29.430385013940942,0.9353814953776598,0.8144204616546631,0.1910926103591919,3.646005966191581,26.78191489361702,0.3682861328125,2.2982191338286313,-0.0007953077814341532,0.05753187294077877,0.24246909999055788
352__M_Left_ring_finger.BMP,C0 M1 NLM,NLM,27.179633251246813,0.001914417585057521,0.8731976190728247,0.0012028798240095813,29.19777759506845,0.9504573081196547,0.752202570438385,0.21416214108467102,4.731993299832496,20.088560885608857,0.3643798828125,2.018144343821639,-0.0007115377610479397,0.07725968904683,0.2356860000290908
399__M_Right_ring_finger.BMP,C0 M1 NLM,NLM,27.19164994656221,0.0019091278159366633,0.7421257503849864,0.0009783238031215629,30.09517379737606,0.8888802817145586,0.6816619634628296,0.10962698608636856,3.4214252005663046,28.375,0.2586669921875,2.9035238508138477,-0.0009308040128151005,0.14675453132957217,0.24785399995744228
