filename,subject_id,candidate,member,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,mean_absolute_change
135__F_Left_thumb_finger.BMP,135,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.40938655376724,0.8404738877059519,0.0018157721246788688,27.40938655376724,0.8404738877059519,0.0018157721246788688,0.0,0.0,0.0,0.0
339__M_Right_index_finger.BMP,339,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.13878511628046,0.8817343702910244,0.0019325088362432837,27.13878511628046,0.8817343702910244,0.0019325088362432837,0.0,0.0,0.0,0.0
160__M_Left_middle_finger.BMP,160,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.146254995156678,0.8256858516879678,0.0019291877718492464,27.146254995156678,0.8256858516879678,0.0019291877718492464,0.0,0.0,0.0,0.0
500__M_Left_ring_finger.BMP,500,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.295580705283417,0.8248268218860626,0.0018639829240834243,27.295580705283417,0.8248268218860626,0.0018639829240834243,0.0,0.0,0.0,0.0
393__M_Right_ring_finger.BMP,393,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.53648716712822,0.8377262864155174,0.0017634018143036256,27.53648716712822,0.8377262864155174,0.0017634018143036256,0.0,0.0,0.0,0.0
151__M_Right_middle_finger.BMP,151,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.413045160037356,0.8508284536483288,0.0018142431165645374,27.413045160037356,0.8508284536483288,0.0018142431165645374,0.0,0.0,0.0,0.0
265__M_Left_thumb_finger.BMP,265,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.243867806531142,0.8530412479772568,0.0018863106612669986,27.243867806531142,0.8530412479772568,0.0018863106612669986,0.0,0.0,0.0,0.0
458__M_Right_ring_finger.BMP,458,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",28.07503863890942,0.7279435409357548,0.0015577441756170914,28.07503863890942,0.7279435409357548,0.0015577441756170914,0.0,0.0,0.0,0.0
384__F_Left_index_finger.BMP,384,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.585880267422205,0.7939810056756735,0.0017434599413858843,27.585880267422205,0.7939810056756735,0.0017434599413858843,0.0,0.0,0.0,0.0
578__M_Right_middle_finger.BMP,578,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=12, strength=0, orientation_offset=0, sigma_scale=0.55, gamma=0.5, detail_clip=0.1)",M2 Modified Gabor,"{""detail_clip"": 0.1, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""gamma"": 0.5, ""orientation_bins"": 12, ""orientation_offset"": 0.0, ""sigma_scale"": 0.55, ""strength"": 0.0}",27.115185164320064,0.891818957228303,0.0019430388473181024,27.115185164320064,0.891818957228303,0.0019430388473181024,0.0,0.0,0.0,0.0
