image,candidate,mse,psnr,ssim
34__M_Right_ring_finger.BMP,C0 NLM,0.0010615054191605731,29.74077784347228,0.9490708843501806
34__M_Right_ring_finger.BMP,C1 TV -> NLM,0.0012458016530081301,29.045510972122123,0.9387411551089286
34__M_Right_ring_finger.BMP,C2 NLM -> Modified Gabor,0.003477002429814859,24.587950058209643,0.9128063294786829
34__M_Right_ring_finger.BMP,C3 NLM -> Directional Diffusion,0.0016052628104549845,27.944538556038296,0.9372271682503224
34__M_Right_ring_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.002444940526726928,26.117317006419796,0.9152477293085456
12__M_Left_middle_finger.BMP,C0 NLM,0.0011049383090626825,29.56661968840023,0.9486580246226788
12__M_Left_middle_finger.BMP,C1 TV -> NLM,0.0014984211483747237,28.24366106056185,0.9290063120927811
12__M_Left_middle_finger.BMP,C2 NLM -> Modified Gabor,0.0036254588275808986,24.4063702256148,0.9081260652291663
12__M_Left_middle_finger.BMP,C3 NLM -> Directional Diffusion,0.0017273970225237046,27.62607833321486,0.9321240924260616
12__M_Left_middle_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.002800028942092956,25.52837479612672,0.8972167530591488
379__F_Left_ring_finger.BMP,C0 NLM,0.001201447204613965,29.20295308712431,0.9504642894906997
379__F_Left_ring_finger.BMP,C1 TV -> NLM,0.001151911547324313,29.385808681209703,0.9459552329577208
379__F_Left_ring_finger.BMP,C2 NLM -> Modified Gabor,0.0025088701488817726,26.005218158011594,0.9289184849280547
379__F_Left_ring_finger.BMP,C3 NLM -> Directional Diffusion,0.0012469343864880025,29.041563984347714,0.9466662469103336
379__F_Left_ring_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.001756296542000374,27.55402153759463,0.9329082058640122
216__M_Right_ring_finger.BMP,C0 NLM,0.0010697456180278188,29.707194838299948,0.9446846299544572
216__M_Right_ring_finger.BMP,C1 TV -> NLM,0.001328571852765662,28.766149527962035,0.9282780395185948
216__M_Right_ring_finger.BMP,C2 NLM -> Modified Gabor,0.0032929253025364594,24.82418120810768,0.9061385235550851
216__M_Right_ring_finger.BMP,C3 NLM -> Directional Diffusion,0.0014241824849202213,28.464343596343795,0.9339912034713029
216__M_Right_ring_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.002231297774184228,26.514424677908046,0.9088890426558256
598__M_Right_little_finger.BMP,C0 NLM,0.0013302646698243235,28.76061943086476,0.950864035236597
598__M_Right_little_finger.BMP,C1 TV -> NLM,0.0012760979221158335,28.941159984966337,0.9470887097163201
598__M_Right_little_finger.BMP,C2 NLM -> Modified Gabor,0.0030559277922210383,25.148569118144245,0.9287312179726549
598__M_Right_little_finger.BMP,C3 NLM -> Directional Diffusion,0.0019811356600387773,27.030857847395787,0.9419614552013278
598__M_Right_little_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.002739992000276371,25.622507051507437,0.9294471065479517
241__M_Right_thumb_finger.BMP,C0 NLM,0.0009424709502700191,30.25732027150671,0.9331747810809612
241__M_Right_thumb_finger.BMP,C1 TV -> NLM,0.001275478800770325,28.943267552313596,0.9103660993355512
241__M_Right_thumb_finger.BMP,C2 NLM -> Modified Gabor,0.0037301550585178925,24.282731146634234,0.8625374261807576
241__M_Right_thumb_finger.BMP,C3 NLM -> Directional Diffusion,0.001121665303879173,29.50136713813261,0.9253578372704983
241__M_Right_thumb_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.0017447861136816022,27.582578038572866,0.8972264256125688
318__F_Left_little_finger.BMP,C0 NLM,0.0011651664558396278,29.33612026836551,0.9208061531684398
318__F_Left_little_finger.BMP,C1 TV -> NLM,0.00115657960669269,29.36824469631347,0.9110262014024257
318__F_Left_little_finger.BMP,C2 NLM -> Modified Gabor,0.0026851052652481656,25.71038683811618,0.8978854640721455
318__F_Left_little_finger.BMP,C3 NLM -> Directional Diffusion,0.0012748168884399657,28.945521917407415,0.9170140134792328
318__F_Left_little_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.0016884416939421496,27.72513932029693,0.9017904385690689
533__M_Left_thumb_finger.BMP,C0 NLM,0.001110225396631721,29.545888423159383,0.9395819773564339
533__M_Left_thumb_finger.BMP,C1 TV -> NLM,0.0012949492364249429,28.877472561175903,0.929442343678832
533__M_Left_thumb_finger.BMP,C2 NLM -> Modified Gabor,0.002601855587798436,25.847168119876326,0.9176754551349804
533__M_Left_thumb_finger.BMP,C3 NLM -> Directional Diffusion,0.0015673899000265212,28.04822956073189,0.9301966620498896
533__M_Left_thumb_finger.BMP,C4 TV -> NLM -> Directional Diffusion,0.0023565863729590572,26.27716637970092,0.9114532305656672
